corpus,experimental_file,experimental_utterance,responder,experimental_response,experimental_start_time_minutes,experimental_past_tense,experimental_plural,experimental_elan_coded,experimental_age_years,experimental_length,experimental_utt_num,experimental_response_time,experimental_age_months,control_length,control_age_months,control_utterance,control_response,control_response_time,speaker,control_start_time_minutes,control_age,control_past_tense,control_plural,control_file,diff
emily,021007,have you hadded presents and cake,CAR,I did,20.04045,TRUE,FALSE,TRUE,2.8542094455852154,6,2,470,34,6,34,just just flip that tape over,why,0,CHI,22.16421666666667,1042.5,FALSE,FALSE,021007,0
emily,021007,my cat ate my three mouses,CAR,you have three mice,21.12303333,FALSE,TRUE,TRUE,2.8542094455852154,6,3,1140,34,6,34,no I can't clean it up,not you the janitor you hafta tell him,0,CHI,12.037666666666667,1042.5,FALSE,FALSE,021007,0
emily,021007,my cat ate my three mouses,CAR,you have three mice,21.12303333,FALSE,TRUE,TRUE,2.8542094455852154,6,3,1140,34,6,34,and the termites stomp on Barbatus,they do,0,CHI,4.996766666666667,1063.5,FALSE,FALSE,021028,0
emily,021007,my cat ate my three mouses,CAR,you have three mice,21.12303333,FALSE,TRUE,TRUE,2.8542094455852154,6,3,1140,34,6,34,I don't have a little skateboard,a skateboard,0,CHI,31.423099999999998,1042.5,FALSE,FALSE,021007,0
emily,021007,I Daddy Stuart_Little and Mom Stuart_Little and I I have three mouses,CAR,oh okay,21.29648333,FALSE,TRUE,TRUE,2.8542094455852154,12,4,70,34,12,34,no my mom said that I hafta go upstairs in my room,oh she made you go upstairs,0,CHI,24.539716666666667,1042.5,FALSE,FALSE,021007,0
emily,021007,I Daddy Stuart_Little and Mom Stuart_Little and I I have three mouses,CAR,oh okay,21.29648333,FALSE,TRUE,TRUE,2.8542094455852154,12,4,70,34,12,34,come to my house and played and I was I just sad,you were sad,0,CHI,24.0601,1042.5,FALSE,FALSE,021007,0
emily,021007,I Daddy Stuart_Little and Mom Stuart_Little and I I have three mouses,CAR,oh okay,21.29648333,FALSE,TRUE,TRUE,2.8542094455852154,12,4,70,34,12,34,let's go back to the mall and get a pret for me,no way,0,CHI,9.969899999999999,1063.5,FALSE,FALSE,021028,0
emily,021007,my cat tried to eat my mouses,CAR,when,21.46855,FALSE,TRUE,TRUE,2.8542094455852154,7,5,120,34,7,34,push the button and it will stop,mm hm,0,CHI,3.060483333333333,1063.5,FALSE,FALSE,021028,0
emily,021007,my cat tried to eat my mouses,CAR,when,21.46855,FALSE,TRUE,TRUE,2.8542094455852154,7,5,120,34,7,34,if I if I be a armadillo,armadillos are fat,0,CHI,0.8615166666666667,1063.5,FALSE,FALSE,021028,0
emily,021007,my cat tried to eat my mouses,CAR,when,21.46855,FALSE,TRUE,TRUE,2.8542094455852154,7,5,120,34,7,34,but the termites are really really funny,oh they are,0,CHI,5.086266666666666,1063.5,FALSE,FALSE,021028,0
emily,021007,my but my cat eat mouses,CAR,why do you call them mice sometimes and mouses other times,21.67221667,FALSE,TRUE,TRUE,2.8542094455852154,6,6,1540,34,6,34,and Santa come at my house,what if Santa doesn't give it to you,0,CHI,11.598333333333333,1063.5,FALSE,FALSE,021028,0
emily,021007,my but my cat eat mouses,CAR,why do you call them mice sometimes and mouses other times,21.67221667,FALSE,TRUE,TRUE,2.8542094455852154,6,6,1540,34,6,34,do we do we open this,mm hm,0,CHI,13.528250000000002,1063.5,FALSE,FALSE,021028,0
emily,021007,my but my cat eat mouses,CAR,why do you call them mice sometimes and mouses other times,21.67221667,FALSE,TRUE,TRUE,2.8542094455852154,6,6,1540,34,6,34,and the termites stomp on Barbatus,they do,0,CHI,4.996766666666667,1063.5,FALSE,FALSE,021028,0
emily,021007,mouses,CAR,okay,22.06006667,FALSE,TRUE,TRUE,2.8542094455852154,1,7,250,34,1,34,yes,the same one,0,CHI,13.388316666666666,1063.5,FALSE,FALSE,021028,0
emily,021007,mouses,CAR,okay,22.06006667,FALSE,TRUE,TRUE,2.8542094455852154,1,7,250,34,1,34,you,I don't have one do I,0,CHI,2.397683333333333,1063.5,FALSE,FALSE,021028,0
emily,021007,mouses,CAR,okay,22.06006667,FALSE,TRUE,TRUE,2.8542094455852154,1,7,250,34,1,34,yes,what do you do there,0,CHI,1.4577666666666667,1042.5,FALSE,FALSE,021007,0
emily,021007,mouses outside,CAR,what do mice do,22.0969,FALSE,TRUE,TRUE,2.8542094455852154,2,8,1360,34,2,34,James just,what's in that box,0,CHI,6.851,1042.5,FALSE,FALSE,021007,0
emily,021007,mouses outside,CAR,what do mice do,22.0969,FALSE,TRUE,TRUE,2.8542094455852154,2,8,1360,34,2,34,know Barbatus,Barbatus,0,CHI,4.883466666666666,1063.5,FALSE,FALSE,021028,0
emily,021007,mouses outside,CAR,what do mice do,22.0969,FALSE,TRUE,TRUE,2.8542094455852154,2,8,1360,34,2,34,but Care,what,0,CHI,11.965766666666667,1063.5,FALSE,FALSE,021028,0
emily,021007,my mouses gatta a babysitter,CAR,they're at the babysitters,29.35561667,FALSE,TRUE,TRUE,2.8542094455852154,5,9,1685,34,5,34,I just gat a cold,you just have a cold,0,CHI,26.496750000000002,1042.5,FALSE,FALSE,021007,0
emily,021007,my mouses gatta a babysitter,CAR,they're at the babysitters,29.35561667,FALSE,TRUE,TRUE,2.8542094455852154,5,9,1685,34,5,34,I can't wear this today,why,0,CHI,20.379966666666668,1063.5,FALSE,FALSE,021028,0
